Nat,Pokemon,TypeI,TypeII,AbilityI,AbilityII,HiddenAbility,Gender,EggGroupI,EggGroupII,Catch,Evolve,Form,GenII,GenIII,GenIV,GenV,GenVI,SunMoon,ORAS,SwSh,BDSP,SV
71,Victreebel,Grass,Poison,Chlorophyll,,Gluttony,Neutral,Grass,,45,Leaf Stone,Base,X,X,X,X,X,X,X,,X,
72,Tentacool,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,Neutral,Water 3,,190,,Base,X,X,X,X,X,X,X,X,X,
73,Tentacruel,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,Neutral,Water 3,,60,Lv. 30,Base,X,X,X,X,X,X,X,X,X,
74,Geodude,Rock,Ground,Rock Head,Sturdy,Sand Veil,Neutral,Mineral,,255,,Base,X,X,X,X,X,X,X,,X,
74,Alolan Geodude,Rock,Electric,Magnet Pull,Sturdy,Galvanize,Neutral,Mineral,,255,,Alolan,,,,,,X,X,,,
75,Graveler,Rock,Ground,Rock Head,Sturdy,Sand Veil,Neutral,Mineral,,120,Lv. 25,Base,X,X,X,X,X,X,X,,X,
75,Alolan Graveler,Rock,Electric,Magnet Pull,Sturdy,Galvanize,Neutral,Mineral,,120,Level 25,Alolan,,,,,,X,X,,,
76,Golem,Rock,Ground,Rock Head,Sturdy,Sand Veil,Neutral,Mineral,,45,Trade,Base,X,X,X,X,X,X,X,,X,
76,Alolan Golem,Rock,Electric,Magnet Pull,Sturdy,Galvanize,Neutral,Mineral,,45,Trade,Alolan,,,,,,X,X,,,
77,Ponyta,Fire,,Run Away,Flash Fire,Flame Body,Neutral,Field,,190,,Base,X,X,X,X,X,X,X,X,X,
77,Galarian Ponyta,Psychic,Fairy,Run Away,Pastel Veil,Anticipation,Neutral,Field,,190,,Galarian,,,,,,,,X,,
78,Rapidash,Fire,,Run Away,Flash Fire,Flame Body,Neutral,Field,,60,Lv. 40,Base,X,X,X,X,X,X,X,X,X,
78,Galarian Rapidash,Psychic,Fairy,Run Away,Pastel Veil,Anticipation,Neutral,Field,,60,Level 40,Galarian,,,,,,,,X,,
79,Slowpoke,Water,Psychic,Oblivious,Own Tempo,Regenerator,Neutral,Monster,Water 1,190,,Base,X,X,X,X,X,X,X,X,X,X
79,G. Slowpoke,Psychic,,Gluttony,Own Tempo,Regenerator,Neutral,Monster,Water 1,190,,Galarian,,,,,,,,X,,X
80,Slowbro,Water,Psychic,Oblivious,Own Tempo,Regenerator,Neutral,Monster,Water 1,75,Lv. 37,Base,X,X,X,X,X,X,X,X,X,X
80,G. Slowbro,Poison,Psychic,Quick Draw,Own Tempo,Regenerator,Neutral,Monster,Water 1,75,Galarian Cuff,Galarian,,,,,,,,X,,X
81,Magnemite,Electric,Steel,Magnet Pull,Sturdy,Analytic,None,Mineral,,190,,Base,X,X,X,X,X,X,X,X,X,X
82,Magneton,Electric,Steel,Magnet Pull,Sturdy,Analytic,None,Mineral,,60,Lv. 30,Base,X,X,X,X,X,X,X,X,X,X
83,Farfetch'd,Normal,Flying,Keen Eye,Inner Focus,Defiant,Neutral,Flying,Field,45,N,Base,X,X,X,X,X,X,X,X,X,
83,G. Farfetch'd,Fighting,,Steadfast,,Scrappy,Neutral,Flying,Field,45,,Galarian,,,,,,,,X,,
84,Doduo,Normal,Flying,Run Away,Early Bird,Tangled Feet,Neutral,Flying,,190,,Base,X,X,X,X,X,X,X,,X,
85,Dodrio,Normal,Flying,Run Away,Early Bird,Tangled Feet,Neutral,Flying,,45,Lv. 31,Base,X,X,X,X,X,X,X,,X,
86,Seel,Water,,Thick Fat,Hydration,Ice Body,Neutral,Water 1,Field,190,,Base,X,X,X,X,X,X,X,,X,
87,Dewgong,Water,Ice,Thick Fat,Hydration,Ice Body,Neutral,Water 1,Field,75,Lv. 34,Base,X,X,X,X,X,X,X,,X,
88,Grimer,Poison,,Stench,Sticky Hold,Poison Touch,Neutral,Amorphous,,190,,Base,X,X,X,X,X,X,X,,X,X
88,Alolan Grimer,Poison,Dark,Poison Touch,Gluttony,Power of Alchemy,Neutral,Amorphous,,190,,Alolan,,,,,,X,X,,,
89,Muk,Poison,,Stench,Sticky Hold,Poison Touch,Neutral,Amorphous,,75,Lv. 38,Base,X,X,X,X,X,X,X,,X,X
89,Alolan Muk,Poison,Dark,Poison Touch,Gluttony,Power of Alchemy,Neutral,Amorphous,,75,Level 38,Alolan,,,,,,X,X,,,
90,Shellder,Water,,Shell Armor,Skill Link,Overcoat,Neutral,Water 3,,190,,Base,X,X,X,X,X,X,X,X,X,X
91,Cloyster,Water,Ice,Shell Armor,Skill Link,Overcoat,Neutral,Water 3,,60,Water Stone,Base,X,X,X,X,X,X,X,X,X,X
92,Gastly,Ghost,Poison,Levitate,,,Neutral,Amorphous,,190,,Base,X,X,X,X,X,X,X,X,X,X
93,Haunter,Ghost,Poison,Levitate,,,Neutral,Amorphous,,90,Lv. 25,Base,X,X,X,X,X,X,X,X,X,X
94,Gengar,Ghost,Poison,Cursed Body,,,Neutral,Amorphous,,45,Trade,Base,X,X,X,X,X,X,X,X,X,X
95,Onix,Rock,Ground,Rock Head,Sturdy,Weak Armor,Neutral,Mineral,,45,,Base,X,X,X,X,X,X,X,X,X,
96,Drowzee,Psychic,,Insomnia,Forewarn,Inner Focus,Neutral,Human-Like,,190,,Base,X,X,X,X,X,X,X,,X,X
97,Hypno,Psychic,,Insomnia,Forewarn,Inner Focus,Neutral,Human-Like,,75,Lv. 26,Base,X,X,X,X,X,X,X,,X,X
98,Krabby,Water,,Hyper Cutter,Shell Armor,Sheer Force,Neutral,Water 3,,225,,Base,X,X,X,X,X,X,X,X,X,
99,Kingler,Water,,Hyper Cutter,Shell Armor,Sheer Force,Neutral,Water 3,,60,Lv. 28,Base,X,X,X,X,X,X,X,X,X,
100,Voltorb,Electric,,Soundproof,Static,Aftermath,None,Mineral,,190,,Base,X,X,X,X,X,X,X,,X,X
100,Hisuian Voltorb,Electric,Grass,Soundproof,Static,Aftermath,None,Mineral,,190,,Hisuian,,,,,,,,,,X
101,Electrode,Electric,,Soundproof,Static,Aftermath,None,Mineral,,60,Lv. 30,Base,X,X,X,X,X,X,X,,X,X
101,H. Electrode,Electric,Grass,Soundproof,Static,Aftermath,None,Mineral,,60,Leaf Stone,Hisuian,,,,,,,,,,X
102,Exeggcute,Grass,Psychic,Chlorophyll,,Harvest,Neutral,Grass,,90,,Base,X,X,X,X,X,X,X,X,X,
103,Exeggutor,Grass,Psychic,Chlorophyll,,Harvest,Neutral,Grass,,45,Leaf Stone,Base,X,X,X,X,X,X,X,X,X,
103,A. Exeggutor,Grass,,Frisk,,Harvest,Neutral,Grass,,45,Leaf Stone (Alola Only),Alolan,,,,,,X,X,X,,
104,Cubone,Ground,,Rock Head,Lightning Rod,Battle Armor,Neutral,Monster,,190,,Base,X,X,X,X,X,X,X,X,X,
105,Marowak,Ground,,Rock Head,Lightning Rod,Battle Armor,Neutral,Monster,,75,Lv. 28,Base,X,X,X,X,X,X,X,X,X,
105,A. Marowak,Ghost,Fire,Cursed Body,Lightning Rod,Rock Head,Neutral,Monster,,75,"Level 28 (Night, Alola Only)",Alolan,,,,,,X,X,X,,
106,Hitmonlee,Fighting,,Limber,Reckless,Unburden,M (100%),Human-Like,,45,Lv. 20 (Atk>Def),Base,X,X,X,X,X,X,X,X,X,
107,Hitmonchan,Fighting,,Keen Eye,Iron Fist,Inner Focus,M (100%),Human-Like,,45,Lv. 20 (Atk<Def),Base,X,X,X,X,X,X,X,X,X,
108,Lickitung,Normal,,Own Tempo,Oblivious,Cloud Nine,Neutral,Monster,,45,,Base,X,X,X,X,X,X,X,X,X,
109,Koffing,Poison,,Levitate,Neutralizing Gas,Stench,Neutral,Amorphous,,190,,Base,X,X,X,X,X,X,X,X,X,
110,Weezing,Poison,,Levitate,Neutralizing Gas,Stench,Neutral,Amorphous,,60,Lv. 35,Base,X,X,X,X,X,X,X,X,X,
110,G. Weezing,Poison,Fairy,Levitate,Neutralizing Gas,Misty Surge,Neutral,Amorphous,,60,Level 35 (Galar Only),Galarian,,,,,,,,X,,
111,Rhyhorn,Ground,Rock,Lightning Rod,Rock Head,Reckless,Neutral,Monster,Field,120,,Base,X,X,X,X,X,X,X,X,X,
112,Rhydon,Ground,Rock,Lightning Rod,Rock Head,Reckless,Neutral,Monster,Field,60,Lv. 42,Base,X,X,X,X,X,X,X,X,X,
113,Chansey,Normal,,Natural Cure,Serene Grace,Healer,F (100%),Fairy,,30,Morn/Day Fr. h/ Oval Stone,Base,X,X,X,X,X,X,X,X,X,X
114,Tangela,Grass,,Chlorophyll,Leaf Guard,Regenerator,Neutral,Grass,,45,,Base,X,X,X,X,X,X,X,X,X,
115,Kangaskhan,Normal,,Early Bird,Scrappy,Inner Focus,F (100%),Monster,,45,N,Base,X,X,X,X,X,X,X,X,X,
116,Horsea,Water,,Swift Swim,Sniper,Damp,Neutral,Water 1,Dragon,225,,Base,X,X,X,X,X,X,X,X,X,
117,Seadra,Water,,Poison Point,Sniper,Damp,Neutral,Water 1,Dragon,75,Lv. 32,Base,X,X,X,X,X,X,X,X,X,
118,Goldeen,Water,,Swift Swim,Water Veil,Lightning Rod,Neutral,Water 2,,225,,Base,X,X,X,X,X,X,X,X,X,
119,Seaking,Water,,Swift Swim,Water Veil,Lightning Rod,Neutral,Water 2,,60,Lv. 33,Base,X,X,X,X,X,X,X,X,X,
120,Staryu,Water,,Illuminate,Natural Cure,Analytic,None,Water 3,,225,,Base,X,X,X,X,X,X,X,X,X,
121,Starmie,Water,Psychic,Illuminate,Natural Cure,Analytic,None,Water 3,,60,Water Stone,Base,X,X,X,X,X,X,X,X,X,
122,Mr. Mime,Psychic,Fairy,Soundproof,Filter,Technician,Neutral,Human-Like,,45,Level w/ Mimic,Base,X,X,X,X,X,X,X,X,X,
122,G. Mr. Mime,Ice,Fairy,Vital Spirit,Screen Cleaner,Ice Body,Neutral,Human-Like,,45,Knowing Mimic (Galar Only),Galarian,,,,,,,,X,,
123,Scyther,Bug,Flying,Swarm,Technician,Steadfast,Neutral,Bug,,45,,Base,X,X,X,X,X,X,X,X,X,X
124,Jynx,Ice,Psychic,Oblivious,Forewarn,Dry Skin,F (100%),Human-Like,,45,Lv. 30,Base,X,X,X,X,X,X,X,X,X,
125,Electabuzz,Electric,,Static,,Vital Spirit,M (75%),Human-Like,,45,Lv. 30,Base,X,X,X,X,X,X,X,X,X,
126,Magmar,Fire,,Flame Body,,Vital Spirit,M (75%),Human-Like,,45,Lv. 30,Base,X,X,X,X,X,X,X,X,X,
127,Pinsir,Bug,,Hyper Cutter,Mold Breaker,Moxie,Neutral,Bug,,45,N,Base,X,X,X,X,X,X,X,X,X,
128,Tauros,Normal,,Intimidate,Anger Point,Sheer Force,M (100%),Field,,45,N,Base,X,X,X,X,X,X,X,X,X,X
128,P. Tauros,Fighting,,Intimidate,Anger Point,Cud Chew,M (100%),Field,,45,,Paldean,,,,,,,,,,X
128,P. Tauros F,Fighting,Fire,Intimidate,Anger Point,Cud Chew,M (100%),Field,,45,,Paldean,,,,,,,,,,X
128,P. Tauros W,Fighting,Water,Intimidate,Anger Point,Cud Chew,M (100%),Field,,45,,Paldean,,,,,,,,,,X
129,Magikarp,Water,,Swift Swim,,Rattled,Neutral,Water 2,Dragon,255,,Base,X,X,X,X,X,X,X,X,X,X
130,Gyarados,Water,Flying,Intimidate,,Moxie,Neutral,Water 2,Dragon,45,Lv. 20,Base,X,X,X,X,X,X,X,X,X,X
131,Lapras,Water,Ice,Water Absorb,Shell Armor,Hydration,Neutral,Monster,Water 1,45,N,Base,X,X,X,X,X,X,X,X,X,
132,Ditto,Normal,,Limber,,Imposter,None,Ditto,,35,N,Base,X,X,X,X,X,X,X,X,X,X
133,Eevee,Normal,,Run Away,Adaptability,Anticipation,M (87.5%),Field,,45,,Base,X,X,X,X,X,X,X,X,X,X
134,Vaporeon,Water,,Water Absorb,,Hydration,M (87.5%),Field,,45,Water Stone,Base,X,X,X,X,X,X,X,X,X,X
135,Jolteon,Electric,,Volt Absorb,,Quick Feet,M (87.5%),Field,,45,Thunderstone,Base,X,X,X,X,X,X,X,X,X,X
136,Flareon,Fire,,Flash Fire,,Guts,M (87.5%),Field,,45,Fire Stone,Base,X,X,X,X,X,X,X,X,X,X
137,Porygon,Normal,,Trace,Download,Analytic,None,Mineral,,45,,Base,X,X,X,X,X,X,X,X,X,
138,Omanyte,Rock,Water,Swift Swim,Shell Armor,Weak Armor,M (87.5%),Water 1,Water 3,45,,Base,X,X,X,X,X,X,X,X,X,
139,Omastar,Rock,Water,Swift Swim,Shell Armor,Weak Armor,M (87.5%),Water 1,Water 3,45,Lv. 40,Base,X,X,X,X,X,X,X,X,X,
140,Kabuto,Rock,Water,Swift Swim,Battle Armor,Weak Armor,M (87.5%),Water 1,Water 3,45,,Base,X,X,X,X,X,X,X,X,X,
141,Kabutops,Rock,Water,Swift Swim,Battle Armor,Weak Armor,M (87.5%),Water 1,Water 3,45,Lv. 40,Base,X,X,X,X,X,X,X,X,X,
142,Aerodactyl,Rock,Flying,Rock Head,Pressure,Unnerve,M (87.5%),Flying,,45,N,Base,X,X,X,X,X,X,X,X,X,
143,Snorlax,Normal,,Immunity,Thick Fat,Gluttony,M (87.5%),Monster,,25,Friendship,Base,X,X,X,X,X,X,X,X,X,
144,Articuno,Ice,Flying,Pressure,,Snow Cloak,None,-,,3,N,Base,X,X,X,X,X,X,X,X,X,X
144,G. Articuno,Psychic,Flying,Competitive,,,None,-,,3,N,Galarian,,,,,,,,X,,X
145,Zapdos,Electric,Flying,Pressure,,Static,None,-,,3,N,Base,X,X,X,X,X,X,X,X,X,X
145,G. Zapdos,Fighting,Flying,Defiant,,,None,-,,3,N,Galarian,,,,,,,,X,,X
146,Moltres,Fire,Flying,Pressure,,Flame Body,None,-,,3,N,Base,X,X,X,X,X,X,X,X,X,X
146,G. Moltres,Dark,Flying,Berserk,,,None,-,,3,N,Galarian,,,,,,,,X,,X
147,Dratini,Dragon,,Shed Skin,,Marvel Scale,Neutral,Water 1,Dragon,45,,Base,X,X,X,X,X,X,X,X,X,X
148,Dragonair,Dragon,,Shed Skin,,Marvel Scale,Neutral,Water 1,Dragon,45,Lv. 30,Base,X,X,X,X,X,X,X,X,X,X
149,Dragonite,Dragon,Flying,Inner Focus,,Multiscale,Neutral,Water 1,Dragon,45,Lv. 55,Base,X,X,X,X,X,X,X,X,X,X
150,Mewtwo,Psychic,,Pressure,,Unnerve,None,-,,3,N,Base,X,X,X,X,X,X,X,X,X,X
151,Mew,Psychic,,Synchronize,,,None,-,,45,N,Base,X,X,X,X,X,X,X,X,X,X
152,Chikorita,Grass,,Overgrow,,Leaf Guard,M (87.5%),Monster,Grass,45,,Base,X,X,X,X,X,X,X,,X,
153,Bayleef,Grass,,Overgrow,,Leaf Guard,M (87.5%),Monster,Grass,45,Lv. 16,Base,X,X,X,X,X,X,X,,X,
154,Meganium,Grass,,Overgrow,,Leaf Guard,M (87.5%),Monster,Grass,45,Lv. 32,Base,X,X,X,X,X,X,X,,X,
155,Cyndaquil,Fire,,Blaze,,Flash Fire,M (87.5%),Field,,45,,Base,X,X,X,X,X,X,X,,X,X
156,Quilava,Fire,,Blaze,,Flash Fire,M (87.5%),Field,,45,Lv. 14,Base,X,X,X,X,X,X,X,,X,X
157,Typhlosion,Fire,,Blaze,,Flash Fire,M (87.5%),Field,,45,Lv. 36,Base,X,X,X,X,X,X,X,,X,X
157,H. Typhlosion,Ghost,Fire,Blaze,,Flash Fire,M (87.5%),Field,,45,Level 36 (Hisui Only),Hisuian,,,,,,,,,,X
158,Totodile,Water,,Torrent,,Sheer Force,M (87.5%),Monster,Water 1,45,,Base,X,X,X,X,X,X,X,,X,
159,Croconaw,Water,,Torrent,,Sheer Force,M (87.5%),Monster,Water 1,45,Lv. 18,Base,X,X,X,X,X,X,X,,X,
