"","Nat","Pokemon","HiddenAbility","Gender"
"236",198,"Murkrow","Prankster","Neutral"
"237",199,"Slowking","Regenerator","Neutral"
"238",199,"G. Slowking","Regenerator","Neutral"
"239",200,"Misdreavus","","Neutral"
"245",203,"Girafarig","Sap Sipper","Neutral"
"246",204,"Pineco","Overcoat","Neutral"
"247",205,"Forretress","Overcoat","Neutral"
"248",206,"Dunsparce","Rattled","Neutral"
"253",211,"Qwilfish","Intimidate","Neutral"
"254",211,"H. Qwilfish","Intimidate","Neutral"
"255",212,"Scizor","Light Metal","Neutral"
"257",214,"Heracross","Moxie","Neutral"
"258",215,"Sneasel","Pickpocket","Neutral"
"259",215,"H. Sneasel","Poison Touch","Neutral"
"260",216,"Teddiursa","Honey Gather","Neutral"
"261",217,"Ursaring","Unnerve","Neutral"
"270",225,"Delibird","Insomnia","Neutral"
"273",228,"Houndour","Unnerve","Neutral"
"274",229,"Houndoom","Unnerve","Neutral"
"276",231,"Phanpy","Sand Veil","Neutral"
"277",232,"Donphan","Sand Veil","Neutral"
"279",234,"Stantler","Sap Sipper","Neutral"
"287",242,"Blissey","Healer","F (100%)"
"291",246,"Larvitar","Sand Veil","Neutral"
"292",247,"Pupitar","","Neutral"
"293",248,"Tyranitar","Unnerve","Neutral"
"325",278,"Wingull","Rain Dish","Neutral"
"326",279,"Pelipper","Rain Dish","Neutral"
"328",280,"Ralts","Pixilate","Neutral"
"330",281,"Kirlia","Pixilate","Neutral"
"332",282,"Gardevoir","Pixilate","Neutral"
"333",283,"Surskit","Rain Dish","Neutral"
"334",284,"Masquerain","Unnerve","Neutral"
"335",285,"Shroomish","Quick Feet","Neutral"
"336",286,"Breloom","Technician","Neutral"
"337",287,"Slakoth","","Neutral"
"338",288,"Vigoroth","","Neutral"
"339",289,"Slaking","","Neutral"
"346",296,"Makuhita","Sheer Force","M (75%)"
"347",297,"Hariyama","Sheer Force","M (75%)"
"352",302,"Sableye","Prankster","Neutral"
"357",307,"Meditite","Telepathy","Neutral"
"358",308,"Medicham","Telepathy","Neutral"
"366",316,"Gulpin","Gluttony","Neutral"
"367",317,"Swalot","Gluttony","Neutral"
"372",322,"Numel","Own Tempo","Neutral"
"373",323,"Camerupt","Anger Point","Neutral"
"374",324,"Torkoal","Shell Armor","Neutral"
"375",325,"Spoink","Gluttony","Neutral"
"376",326,"Grumpig","Gluttony","Neutral"
"384",331,"Cacnea","Water Absorb","Neutral"
"385",332,"Cacturne","Water Absorb","Neutral"
"386",333,"Swablu","Cloud Nine","Neutral"
"387",334,"Altaria","Cloud Nine","Neutral"
"388",335,"Zangoose","Toxic Boost","Neutral"
"389",336,"Seviper","Infiltrator","Neutral"
"392",339,"Barboach","Hydration","Neutral"
"393",340,"Whiscash","Hydration","Neutral"
"406",353,"Shuppet","Cursed Body","Neutral"
"407",354,"Banette","Cursed Body","Neutral"
"410",357,"Tropius","Harvest","Neutral"
"414",361,"Snorunt","Moody","Neutral"
"415",362,"Glalie","Moody","Neutral"
"423",370,"Luvdisc","Hydration","F (75%)"
"424",371,"Bagon","Sheer Force","Neutral"
"425",372,"Shelgon","Overcoat","Neutral"
"426",373,"Salamence","Moxie","Neutral"
"449",396,"Starly","Reckless","Neutral"
"450",397,"Staravia","Reckless","Neutral"
"451",398,"Staraptor","Reckless","Neutral"
"454",401,"Kricketot","Run Away","Neutral"
"455",402,"Kricketune","Technician","Neutral"
"456",403,"Shinx","Guts","Neutral"
"457",404,"Luxio","Guts","Neutral"
"458",405,"Luxray","Guts","Neutral"
"468",415,"Combee","Hustle","M (87.5%)"
"469",416,"Vespiquen","Unnerve","F (100%)"
"470",417,"Pachirisu","Volt Absorb","Neutral"
"471",418,"Buizel","Water Veil","Neutral"
"472",419,"Floatzel","Water Veil","Neutral"
"478",425,"Drifloon","Flare Boost","Neutral"
"479",426,"Drifblim","Flare Boost","Neutral"
"482",429,"Mismagius","","Neutral"
"483",430,"Honchkrow","Moxie","Neutral"
"487",434,"Stunky","Keen Eye","Neutral"
"488",435,"Skuntank","Keen Eye","Neutral"
"495",442,"Spiritomb","Infiltrator","Neutral"
"496",443,"Gible","Rough Skin","Neutral"
"497",444,"Gabite","Rough Skin","Neutral"
"498",445,"Garchomp","Rough Skin","Neutral"
"501",448,"Lucario","Justified","M (87.5%)"
"502",449,"Hippopotas","Sand Force","Neutral"
"503",450,"Hippowdon","Sand Force","Neutral"
"506",453,"Croagunk","Poison Touch","Neutral"
"507",454,"Toxicroak","Poison Touch","Neutral"
"509",456,"Finneon","Water Veil","Neutral"
"510",457,"Lumineon","Water Veil","Neutral"
"512",459,"Snover","Soundproof","Neutral"
"513",460,"Abomasnow","Soundproof","Neutral"
"514",461,"Weavile","Pickpocket","Neutral"
"523",470,"Leafeon","Chlorophyll","M (87.5%)"
"524",471,"Glaceon","Ice Body","M (87.5%)"
"530",475,"Gallade","Justified","M (100%)"
"533",478,"Froslass","Cursed Body","F (100%)"
"556",501,"Oshawott","Shell Armor","M (87.5%)"
"557",502,"Dewott","Shell Armor","M (87.5%)"
"558",503,"Samurott","Shell Armor","M (87.5%)"
"559",503,"H. Samurott","Shell Armor","M (87.5%)"
"604",548,"Petilil","Leaf Guard","F (100%)"
"605",549,"Lilligant","Leaf Guard","F (100%)"
"606",549,"H. Lilligant","Leaf Guard","F (100%)"
"607",550,"Red Basculin","Mold Breaker","Neutral"
"608",550,"White Basculin","Mold Breaker","Neutral"
"609",551,"Sandile","Anger Point","Neutral"
"610",552,"Krokorok","Anger Point","Neutral"
"611",553,"Krookodile","Anger Point","Neutral"
"631",570,"Zorua","","M (87.5%)"
"632",570,"H. Zorua","","M (87.5%)"
"633",571,"Zoroark","","M (87.5%)"
"634",571,"H. Zoroark","","M (87.5%)"
"637",574,"Gothita","Shadow Tag","F (75%)"
"638",575,"Gothorita","Shadow Tag","F (75%)"
"639",576,"Gothitelle","Shadow Tag","F (75%)"
"648",585,"Deerling","Serene Grace","Neutral"
"649",586,"Sawsbuck","Serene Grace","Neutral"
"653",590,"Foongus","Regenerator","Neutral"
"654",591,"Amoonguss","Regenerator","Neutral"
"657",594,"Alomomola","Regenerator","Neutral"
"665",602,"Tynamo","","Neutral"
"666",603,"Eelektrik","","Neutral"
"667",604,"Eelektross","","Neutral"
"673",610,"Axew","Unnerve","Neutral"
"674",611,"Fraxure","Unnerve","Neutral"
"675",612,"Haxorus","Unnerve","Neutral"
"676",613,"Cubchoo","Rattled","Neutral"
"677",614,"Beartic","Swift Swim","Neutral"
"688",624,"Pawniard","Pressure","Neutral"
"689",625,"Bisharp","Pressure","Neutral"
"691",627,"Rufflet","Hustle","M (100%)"
"692",628,"Braviary","Defiant","M (100%)"
"693",628,"H. Braviary","Defiant","M (100%)"
"698",633,"Deino","","Neutral"
"699",634,"Zweilous","","Neutral"
"700",635,"Hydreigon","","Neutral"
"701",636,"Larvesta","Swarm","Neutral"
"702",637,"Volcarona","Swarm","Neutral"
"715",650,"Chespin","Bulletproof","M (87.5%)"
"716",651,"Quilladin","Bulletproof","M (87.5%)"
"717",652,"Chesnaught","Bulletproof","M (87.5%)"
"718",653,"Fennekin","Magician","M (87.5%)"
"719",654,"Braixen","Magician","M (87.5%)"
"720",655,"Delphox","Magician","M (87.5%)"
"721",656,"Froakie","Protean","M (87.5%)"
"722",657,"Frogadier","Protean","M (87.5%)"
"723",658,"Greninja","Protean","M (87.5%)"
"726",661,"Fletchling","Gale Wings","Neutral"
"727",662,"Fletchinder","Gale Wings","Neutral"
"728",663,"Talonflame","Gale Wings","Neutral"
"729",664,"Scatterbug","Friend Guard","Neutral"
"730",665,"Spewpa","Friend Guard","Neutral"
"731",666,"Vivillon","Friend Guard","Neutral"
"732",667,"Litleo","Moxie","F (87.5%)"
"733",668,"Pyroar","Moxie","F (87.5%)"
"734",669,"Flabébé","Symbiosis","F (100%)"
"735",670,"Floette","Symbiosis","F (100%)"
"736",671,"Florges","Symbiosis","F (100%)"
"737",672,"Skiddo","Grass Pelt","Neutral"
"738",673,"Gogoat","Grass Pelt","Neutral"
"755",690,"Skrelp","Adaptability","Neutral"
"756",691,"Dragalge","Adaptability","Neutral"
"757",692,"Clauncher","","Neutral"
"758",693,"Clawitzer","","Neutral"
"765",700,"Sylveon","Pixilate","M (87.5%)"
"767",701,"Hawlucha","Mold Breaker","Neutral"
"768",702,"Dedenne","Plus","Neutral"
"770",704,"Goomy","Gooey","Neutral"
"771",705,"H. Sliggoo","Gooey","Neutral"
"772",705,"Sliggoo","Gooey","Neutral"
"773",706,"H. Goodra","Gooey","Neutral"
"774",706,"Goodra","Gooey","Neutral"
"775",707,"Klefki","Magician","Neutral"
"781",712,"Bergmite","Sturdy","Neutral"
"783",713,"H. Avalugg","Ice Body","Neutral"
"784",713,"Avalugg","Sturdy","Neutral"
"786",714,"Noibat","Telepathy","Neutral"
"788",715,"Noivern","Telepathy","Neutral"
"795",722,"Rowlet","Long Reach","M (87.5%)"
"796",723,"Dartrix","Long Reach","M (87.5%)"
"797",724,"Decidueye","Long Reach","M (87.5%)"
"798",724,"H. Decidueye","Long Reach","M (87.5%)"
"808",734,"Yungoos","Adaptability","Neutral"
"809",735,"Gumshoos","Adaptability","Neutral"
"813",739,"Crabrawler","Anger Point","Neutral"
"814",740,"Crabominable","Anger Point","Neutral"
"815",741,"Pom Oricorio","","F (75%)"
"816",741,"Baile Oricorio","","Neutral"
"817",741,"Pa'u Oricorio","","Neutral"
"818",741,"Sen. Oricorio","","Neutral"
"821",744,"Rockruff","Steadfast","Neutral"
"822",745,"Day Lycanroc","Steadfast","Neutral"
"823",745,"Midnight Lycanroc","No Guard","Neutral"
"824",745,"Dusk Lycanroc","","Neutral"
"826",747,"Mareanie","Regenerator","Neutral"
"827",748,"Toxapex","Regenerator","Neutral"
"828",749,"Mudbray","Inner Focus","Neutral"
"829",750,"Mudsdale","Inner Focus","Neutral"
"832",753,"Fomantis","Contrary","Neutral"
"833",754,"Lurantis","Contrary","Neutral"
"836",757,"Salandit","Oblivious","M (87.5%)"
"837",758,"Salazzle","Oblivious","F (100%)"
"840",761,"Bounsweet","Sweet Veil","F (100%)"
"841",762,"Steenee","Sweet Veil","F (100%)"
"842",763,"Tsareena","Sweet Veil","F (100%)"
"844",765,"Oranguru","Symbiosis","Neutral"
"845",766,"Passimian","Defiant","Neutral"
"848",769,"Sandygast","Sand Veil","Neutral"
"849",770,"Palossand","Sand Veil","Neutral"
"854",775,"Komala","","Neutral"
"857",778,"Mimikyu","","Neutral"
"858",779,"Bruxish","Wonder Skin","Neutral"
"889",810,"Grookey","Grassy Surge","M (87.5%)"
"890",811,"Thwackey","Grassy Surge","M (87.5%)"
"891",812,"Rillaboom","Grassy Surge","M (87.5%)"
"892",813,"Scorbunny","Libero","M (87.5%)"
"893",814,"Raboot","Libero","M (87.5%)"
"894",815,"Cinderace","Libero","M (87.5%)"
"895",816,"Sobble","Sniper","M (87.5%)"
"896",817,"Drizzile","Sniper","M (87.5%)"
"897",818,"Inteleon","Sniper","M (87.5%)"
"898",819,"Skwovet","Gluttony","Neutral"
"899",820,"Greedent","Gluttony","Neutral"
"900",821,"Rookidee","Big Pecks","Neutral"
"901",822,"Corvisquire","Big Pecks","Neutral"
"902",823,"Corviknight","Mirror Armor","Neutral"
"912",833,"Chewtle","Swift Swim","Neutral"
"913",834,"Drednaw","Swift Swim","Neutral"
"916",837,"Rolycoly","Flash Fire","Neutral"
"917",838,"Carkol","Flash Fire","Neutral"
"918",839,"Coalossal","Flash Fire","Neutral"
"919",840,"Applin","Bulletproof","Neutral"
"920",841,"Flapple","Hustle","Neutral"
"921",842,"Appletun","Thick Fat","Neutral"
"922",843,"Silicobra","Sand Veil","Neutral"
"923",844,"Sandaconda","Sand Veil","Neutral"
"925",846,"Arrokuda","Propeller Tail","Neutral"
"926",847,"Barraskewda","Propeller Tail","Neutral"
"928",849,"Toxtricity A","Flame Body","Neutral"
"929",849,"Toxtricity Low","Technician","Neutral"
"936",856,"Hatenna","Magic Bounce","F (100%)"
"937",857,"Hattrem","Magic Bounce","F (100%)"
"938",858,"Hatterene","Magic Bounce","F (100%)"
"939",859,"Impidimp","Pickpocket","M (100%)"
"940",860,"Morgrem","Pickpocket","M (100%)"
"941",861,"Grimmsnarl","Pickpocket","M (100%)"
"943",863,"Perrserker","Steely Spirit","Neutral"
"951",871,"Pinurchin","Electric Surge","Neutral"
"952",872,"Snom","Ice Scales","Neutral"
"953",873,"Frosmoth","Ice Scales","Neutral"
"954",874,"Stonjourner","","Neutral"
"955",875,"Eiscue","","Neutral"
"956",876,"M Indeedee","Psychic Surge","M (100%)"
"957",876,"F Indeedee","Psychic Surge","F (100%)"
"959",878,"Cufant","Heavy Metal","Neutral"
"960",879,"Copperajah","Heavy Metal","Neutral"
"966",885,"Dreepy","Cursed Body","Neutral"
"967",886,"Drakloak","Cursed Body","Neutral"
"968",887,"Dragapult","Cursed Body","Neutral"
"980",899,"Wyrdeer","Sap Sipper","Neutral"
"981",900,"Kleavor","Sharpness","Neutral"
"982",901,"Ursaluna","Unnerve","Neutral"
"983",902,"MBasculegion","Mold Breaker","M (100%)"
"984",903,"Sneasler","Poison Touch","Neutral"
"985",904,"Overqwil","Intimidate","Neutral"
"987",906,"Sprigatito","Protean","M (87.5%)"
"988",907,"Floragato","Protean","M (87.5%)"
"989",908,"Meowscarada","Protean","M (87.5%)"
"990",909,"Fuecoco","Unaware","M (87.5%)"
"991",910,"Crocalor","Unaware","M (87.5%)"
"992",911,"Skeledirge","Unaware","M (87.5%)"
"993",912,"Quaxly","Moxie","M (87.5%)"
"994",913,"Quaxwell","Moxie","M (87.5%)"
"995",914,"Quaquaval","Moxie","M (87.5%)"
"996",915,"Lechonk","Thick Fat","Neutral"
"997",916,"Oinkologne-M","Thick Fat","M (100%)"
"998",917,"Tarountula","Stakeout","Neutral"
"999",918,"Spidops","Stakeout","Neutral"
"1000",919,"Nymble","Tinted Lens","Neutral"
"1001",920,"Lokix","Tinted Lens","Neutral"
"1002",921,"Pawmi","Iron Fist","Neutral"
"1003",922,"Pawmot","Iron Fist","Neutral"
"1004",923,"Pawmot","Iron Fist","Neutral"
"1007",926,"Fidough","Klutz","Neutral"
"1008",927,"Dashbun","Aroma Veil","Neutral"
"1009",928,"Smoliv","Harvest","Neutral"
"1010",929,"Dolliv","Harvest","Neutral"
"1011",930,"Arboliva","Harvest","Neutral"
"1012",931,"Squawkabilly","Sheer Force","Neutral"
"1013",932,"Nacli","Clear Body","Neutral"
"1014",933,"Naclstack","Clear Body","Neutral"
"1015",934,"Gargancl","Clear Body","Neutral"
"1016",935,"Charcadet","Flame Body","Neutral"
"1017",936,"Armarouge","Flame Body","Neutral"
"1018",937,"Ceruledge","Flame Body","Neutral"
"1019",938,"Tadbulb","Damp","Neutral"
"1020",939,"Bellibolt","Damp","Neutral"
"1021",940,"Wattrel","Competitive","Neutral"
"1022",941,"Kilowattrel","Competitive","Neutral"
"1023",942,"Maschiff","Stakeout","Neutral"
"1024",943,"Mabosstiff","Stakeout","Neutral"
"1025",944,"Shroodle","Prankster","Neutral"
"1026",945,"Grafaiai","Prankster","Neutral"
"1027",946,"Bramblin","Infiltrator","Neutral"
"1028",947,"Brambleghast","Infiltrator","Neutral"
"1029",948,"Toedscool","","Neutral"
"1030",949,"Toedscruel","","Neutral"
"1031",950,"Klawf","Regenerator","Neutral"
"1032",951,"Capsakid","Klutz","Neutral"
"1033",952,"Scovillain","Moody","Neutral"
"1034",953,"Rellor","Shed Skin","Neutral"
"1035",954,"Rabsca","Telepathy","Neutral"
"1036",955,"Flittle","Speed Boost","Neutral"
"1037",956,"Espathra","Speed Boost","Neutral"
"1038",957,"Tinkatink","Pickpocket","F (100%)"
"1039",958,"Tinkatuff","Pickpocket","F (100%)"
"1040",959,"Tinkaton","Pickpocket","F (100%)"
"1041",960,"Wiglett","Sand Veil","Neutral"
"1042",961,"Wugtrio","Sand Veil","Neutral"
"1043",962,"Bombirdier","Rocky Payload","Neutral"
"1044",963,"Finizen","","Neutral"
"1045",964,"Palafin","","Neutral"
"1046",965,"Varoom","Slow Start","Neutral"
"1047",966,"Revaroom","Filter","Neutral"
"1048",967,"Cyclizar","Regenerator","Neutral"
"1049",968,"Orthworm","Sand Veil","Neutral"
"1050",969,"Glimmet","Corrosion","Neutral"
"1051",970,"Glimmora","Corrosion","Neutral"
"1052",971,"Greavard","Fluffy","Neutral"
"1053",972,"Houndstone","Fluffy","Neutral"
"1054",973,"Flamigo","Costar","Neutral"
"1055",974,"Cetoddle","Sheer Force","Neutral"
"1056",975,"Cetitan","Sheer Force","Neutral"
"1057",976,"Veluza","Sharpness","Neutral"
"1058",977,"Dondozo","Water Veil","Neutral"
"1059",978,"Tatsugiri","Storm Drain","Neutral"
"1060",979,"Annihilape","Defiant","Neutral"
"1061",980,"Clodsire","Unaware","Neutral"
"1062",981,"Farigaraf","Sap Sipper","Neutral"
"1063",982,"Dudunsparce","Rattled","Neutral"
"1064",983,"Kingambit","Pressure","Neutral"
"1077",996,"Frigibax","Ice Body","Neutral"
"1078",997,"Arctibax","Ice Body","Neutral"
"1079",998,"Baxcalibur","Ice Body","Neutral"
