"","Nat","Pokemon","HiddenAbility","Gender"
"82",68,"Machamp","Steadfast","M (75%)"
"86",72,"Tentacool","Rain Dish","Neutral"
"87",73,"Tentacruel","Rain Dish","Neutral"
"94",77,"Ponyta","Flame Body","Neutral"
"95",77,"Galarian Ponyta","Anticipation","Neutral"
"96",78,"Rapidash","Flame Body","Neutral"
"97",78,"Galarian Rapidash","Anticipation","Neutral"
"98",79,"Slowpoke","Regenerator","Neutral"
"99",79,"G. Slowpoke","Regenerator","Neutral"
"100",80,"Slowbro","Regenerator","Neutral"
"101",80,"G. Slowbro","Regenerator","Neutral"
"104",83,"Farfetch'd","Defiant","Neutral"
"105",83,"G. Farfetch'd","Scrappy","Neutral"
"114",90,"Shellder","Overcoat","Neutral"
"115",91,"Cloyster","Overcoat","Neutral"
"116",92,"Gastly","","Neutral"
"117",93,"Haunter","","Neutral"
"118",94,"Gengar","","Neutral"
"119",95,"Onix","Weak Armor","Neutral"
"122",98,"Krabby","Sheer Force","Neutral"
"123",99,"Kingler","Sheer Force","Neutral"
"128",102,"Exeggcute","Harvest","Neutral"
"129",103,"Exeggutor","Harvest","Neutral"
"130",103,"A. Exeggutor","Harvest","Neutral"
"131",104,"Cubone","Battle Armor","Neutral"
"132",105,"Marowak","Battle Armor","Neutral"
"133",105,"A. Marowak","Rock Head","Neutral"
"134",106,"Hitmonlee","Unburden","M (100%)"
"135",107,"Hitmonchan","Inner Focus","M (100%)"
"136",108,"Lickitung","Cloud Nine","Neutral"
"137",109,"Koffing","Stench","Neutral"
"138",110,"Weezing","Stench","Neutral"
"139",110,"G. Weezing","Misty Surge","Neutral"
"140",111,"Rhyhorn","Reckless","Neutral"
"141",112,"Rhydon","Reckless","Neutral"
"142",113,"Chansey","Healer","F (100%)"
"143",114,"Tangela","Regenerator","Neutral"
"144",115,"Kangaskhan","Inner Focus","F (100%)"
"145",116,"Horsea","Damp","Neutral"
"146",117,"Seadra","Damp","Neutral"
"147",118,"Goldeen","Lightningrod","Neutral"
"148",119,"Seaking","Lightningrod","Neutral"
"151",122,"Mr. Mime","Technician","Neutral"
"152",122,"G. Mr. Mime","Ice Body","Neutral"
"153",123,"Scyther","Steadfast","Neutral"
"154",124,"Jynx","Dry Skin","F (100%)"
"155",125,"Electabuzz","Vital Spirit","M (75%)"
"156",126,"Magmar","Vital Spirit","M (75%)"
"157",127,"Pinsir","Moxie","Neutral"
"158",128,"Tauros","Sheer Force","M (100%)"
"162",129,"Magikarp","Rattled","Neutral"
"163",130,"Gyarados","Moxie","Neutral"
"164",131,"Lapras","Hydration","Neutral"
"166",133,"Eevee","Anticipation","M (87.5%)"
"167",134,"Vaporeon","Hydration","M (87.5%)"
"168",135,"Jolteon","Quick Feet","M (87.5%)"
"169",136,"Flareon","Guts","M (87.5%)"
"171",138,"Omanyte","Weak Armor","M (87.5%)"
"172",139,"Omastar","Weak Armor","M (87.5%)"
"173",140,"Kabuto","Weak Armor","M (87.5%)"
"174",141,"Kabutops","Weak Armor","M (87.5%)"
"175",142,"Aerodactyl","Unnerve","M (87.5%)"
"176",143,"Snorlax","Gluttony","M (87.5%)"
"183",147,"Dratini","Marvel Scale","Neutral"
"184",148,"Dragonair","Marvel Scale","Neutral"
"185",149,"Dragonite","Multiscale","Neutral"
"200",163,"Hoothoot","Tinted Lens","Neutral"
"201",164,"Noctowl","Tinted Lens","Neutral"
"206",169,"Crobat","Infiltrator","Neutral"
"207",170,"Chinchou","Water Absorb","Neutral"
"208",171,"Lanturn","Water Absorb","Neutral"
"213",176,"Togetic","Super Luck","M (87.5%)"
"214",177,"Natu","Magic Bounce","Neutral"
"215",178,"Xatu","Magic Bounce","Neutral"
"219",182,"Bellossom","Healer","Neutral"
"220",183,"Marill","Sap Sipper","Neutral"
"221",184,"Azumarill","Sap Sipper","Neutral"
"222",185,"Sudowoodo","Rattled","Neutral"
"223",186,"Politoed","Drizzle","Neutral"
"231",194,"Wooper","Unaware","Neutral"
"233",195,"Quagsire","Unaware","Neutral"
"234",196,"Espeon","Magic Bounce","M (87.5%)"
"235",197,"Umbreon","Inner Focus","M (87.5%)"
"237",199,"Slowking","Regenerator","Neutral"
"238",199,"G. Slowking","Regenerator","Neutral"
"243",202,"Wobbuffet","Telepathy","Neutral"
"248",206,"Dunsparce","Rattled","Neutral"
"250",208,"Steelix","Sheer Force","Neutral"
"253",211,"Qwilfish","Intimidate","Neutral"
"255",212,"Scizor","Light Metal","Neutral"
"256",213,"Shuckle","Contrary","Neutral"
"257",214,"Heracross","Moxie","Neutral"
"258",215,"Sneasel","Pickpocket","Neutral"
"264",220,"Swinub","Thick Fat","Neutral"
"265",221,"Piloswine","Thick Fat","Neutral"
"266",222,"Corsola","Regenerator","F (75%)"
"267",222,"Galarian Corsola","Cursed Body","F (75%)"
"268",223,"Remoraid","Moody","Neutral"
"269",224,"Octillery","Moody","Neutral"
"270",225,"Delibird","Insomnia","Neutral"
"271",226,"Mantine","Water Veil","Neutral"
"272",227,"Skarmory","Weak Armor","Neutral"
"275",230,"Kingdra","Damp","Neutral"
"282",237,"Hitmontop","Steadfast","M (100%)"
"286",241,"Miltank","Sap Sipper","F (100%)"
"287",242,"Blissey","Healer","F (100%)"
"291",246,"Larvitar","Sand Veil","Neutral"
"292",247,"Pupitar","","Neutral"
"293",248,"Tyranitar","Unnerve","Neutral"
"297",252,"Treecko","Unburden","M (87.5%)"
"298",253,"Grovyle","Unburden","M (87.5%)"
"299",254,"Sceptile","Unburden","M (87.5%)"
"300",255,"Torchic","Speed Boost","M (87.5%)"
"301",256,"Combusken","Speed Boost","M (87.5%)"
"302",257,"Blaziken","Speed Boost","M (87.5%)"
"303",258,"Mudkip","Damp","M (87.5%)"
"304",259,"Marshtomp","Damp","M (87.5%)"
"305",260,"Swampert","Damp","M (87.5%)"
"308",263,"Zigzagoon","Quick Feet","Neutral"
"309",263,"G. Zigzagoon","Quick Feet","Neutral"
"310",264,"Linoone","Quick Feet","Neutral"
"311",264,"G. Linoone","Quick Feet","Neutral"
"317",270,"Lotad","Own Tempo","Neutral"
"318",271,"Lombre","Own Tempo","Neutral"
"319",272,"Ludicolo","Own Tempo","Neutral"
"320",273,"Seedot","Pickpocket","Neutral"
"321",274,"Nuzleaf","Pickpocket","Neutral"
"322",275,"Shiftry","Pickpocket","Neutral"
"325",278,"Wingull","Rain Dish","Neutral"
"326",279,"Pelipper","Rain Dish","Neutral"
"328",280,"Ralts","Pixilate","Neutral"
"330",281,"Kirlia","Pixilate","Neutral"
"332",282,"Gardevoir","Pixilate","Neutral"
"340",290,"Nincada","Run Away","Neutral"
"341",291,"Ninjask","Infiltrator","Neutral"
"343",293,"Whismur","Rattled","Neutral"
"344",294,"Loudred","Scrappy","Neutral"
"345",295,"Exploud","Scrappy","Neutral"
"352",302,"Sableye","Prankster","Neutral"
"353",303,"Mawile","Sheer Force","Neutral"
"354",304,"Aron","Heavy Metal","Neutral"
"355",305,"Lairon","Heavy Metal","Neutral"
"356",306,"Aggron","Heavy Metal","Neutral"
"359",309,"Electrike","Minus","Neutral"
"360",310,"Manectric","Minus","Neutral"
"365",315,"Roselia","Leaf Guard","Neutral"
"368",318,"Carvanha","Speed Boost","Neutral"
"369",319,"Sharpedo","Speed Boost","Neutral"
"370",320,"Wailmer","Pressure","Neutral"
"371",321,"Wailord","Pressure","Neutral"
"374",324,"Torkoal","Shell Armor","Neutral"
"379",328,"Trapinch","Sheer Force","Neutral"
"381",329,"Vibrava","","Neutral"
"383",330,"Flygon","","Neutral"
"386",333,"Swablu","Cloud Nine","Neutral"
"387",334,"Altaria","Cloud Nine","Neutral"
"392",339,"Barboach","Hydration","Neutral"
"393",340,"Whiscash","Hydration","Neutral"
"394",341,"Corphish","Adaptability","Neutral"
"395",342,"Crawdaunt","Adaptability","Neutral"
"398",345,"Lileep","Storm Drain","M (87.5%)"
"399",346,"Cradily","Storm Drain","M (87.5%)"
"400",347,"Anorith","Swift Swim","M (87.5%)"
"401",348,"Armaldo","Swift Swim","M (87.5%)"
"402",349,"Feebas","Adaptability","Neutral"
"403",350,"Milotic","Cute Charm","Neutral"
"408",355,"Duskull","Frisk","Neutral"
"409",356,"Dusclops","Frisk","Neutral"
"412",359,"Absol","Justified","Neutral"
"414",361,"Snorunt","Moody","Neutral"
"415",362,"Glalie","Moody","Neutral"
"416",363,"Spheal","Oblivious","Neutral"
"417",364,"Sealeo","Oblivious","Neutral"
"418",365,"Walrein","Oblivious","Neutral"
"422",369,"Relicanth","Sturdy","M (87.5%)"
"424",371,"Bagon","Sheer Force","Neutral"
"425",372,"Shelgon","Overcoat","Neutral"
"426",373,"Salamence","Moxie","Neutral"
"456",403,"Shinx","Guts","Neutral"
"457",404,"Luxio","Guts","Neutral"
"458",405,"Luxray","Guts","Neutral"
"460",407,"Roserade","Technician","Neutral"
"468",415,"Combee","Hustle","M (87.5%)"
"469",416,"Vespiquen","Unnerve","F (100%)"
"473",420,"Cherubi","","Neutral"
"474",421,"Cherrim","","Neutral"
"475",422,"Shellos","Sand Force","Neutral"
"476",423,"Gastrodon","Sand Force","Neutral"
"478",425,"Drifloon","Flare Boost","Neutral"
"479",426,"Drifblim","Flare Boost","Neutral"
"480",427,"Buneary","Limber","Neutral"
"481",428,"Lopunny","Limber","Neutral"
"487",434,"Stunky","Keen Eye","Neutral"
"488",435,"Skuntank","Keen Eye","Neutral"
"495",442,"Spiritomb","Infiltrator","Neutral"
"496",443,"Gible","Rough Skin","Neutral"
"497",444,"Gabite","Rough Skin","Neutral"
"498",445,"Garchomp","Rough Skin","Neutral"
"501",448,"Lucario","Justified","M (87.5%)"
"502",449,"Hippopotas","Sand Force","Neutral"
"503",450,"Hippowdon","Sand Force","Neutral"
"504",451,"Skorupi","Keen Eye","Neutral"
"505",452,"Drapion","Keen Eye","Neutral"
"506",453,"Croagunk","Poison Touch","Neutral"
"507",454,"Toxicroak","Poison Touch","Neutral"
"512",459,"Snover","Soundproof","Neutral"
"513",460,"Abomasnow","Soundproof","Neutral"
"514",461,"Weavile","Pickpocket","Neutral"
"516",463,"Lickilicky","Cloud Nine","Neutral"
"517",464,"Rhyperior","Regenerator","Neutral"
"518",465,"Tangrowth","Regenerator","Neutral"
"519",466,"Electivire","Vital Spirit","M (75%)"
"520",467,"Magmortar","Vital Spirit","M (75%)"
"521",468,"Togekiss","Super Luck","M (87.5%)"
"523",470,"Leafeon","Chlorophyll","M (87.5%)"
"524",471,"Glaceon","Ice Body","M (87.5%)"
"526",473,"Mamoswine","Thick Fat","Neutral"
"530",475,"Gallade","Justified","M (100%)"
"532",477,"Dusknoir","Frisk","Neutral"
"533",478,"Froslass","Cursed Body","F (100%)"
"562",506,"Lillipup","Run Away","Neutral"
"563",507,"Herdier","Scrappy","Neutral"
"564",508,"Stoutland","Scrappy","Neutral"
"565",509,"Purrloin","Prankster","Neutral"
"566",510,"Liepard","Prankster","Neutral"
"573",517,"Munna","Telepathy","Neutral"
"574",518,"Musharna","Telepathy","Neutral"
"575",519,"Pidove","Rivalry","Neutral"
"576",520,"Tranquill","Rivalry","Neutral"
"577",521,"Unfezant","Rivalry","Neutral"
"580",524,"Roggenrola","Sand Force","Neutral"
"581",525,"Boldore","Sand Force","Neutral"
"582",526,"Gigalith","Sand Force","Neutral"
"583",527,"Woobat","Simple","Neutral"
"584",528,"Swoobat","Simple","Neutral"
"585",529,"Drilbur","Mold Breaker","Neutral"
"586",530,"Excadrill","Mold Breaker","Neutral"
"587",531,"Audino","Klutz","Neutral"
"588",532,"Timburr","Iron Fist","M (75%)"
"589",533,"Gurdurr","Iron Fist","M (75%)"
"590",534,"Conkeldurr","Iron Fist","M (75%)"
"591",535,"Tympole","Water Absorb","Neutral"
"592",536,"Palpitoad","Water Absorb","Neutral"
"593",537,"Seismitoad","Water Absorb","Neutral"
"594",538,"Throh","Mold Breaker","M (100%)"
"595",539,"Sawk","Mold Breaker","M (100%)"
"599",543,"Venipede","Speed Boost","Neutral"
"600",544,"Whirlipede","Speed Boost","Neutral"
"601",545,"Scolipede","Speed Boost","Neutral"
"602",546,"Cottonee","Chlorophyll","Neutral"
"603",547,"Whimsicott","Chlorophyll","Neutral"
"604",548,"Petilil","Leaf Guard","F (100%)"
"605",549,"Lilligant","Leaf Guard","F (100%)"
"607",550,"Red Basculin","Mold Breaker","Neutral"
"609",551,"Sandile","Anger Point","Neutral"
"610",552,"Krokorok","Anger Point","Neutral"
"611",553,"Krookodile","Anger Point","Neutral"
"612",554,"Darumaka","Inner Focus","Neutral"
"613",554,"G. Darumaka","Inner Focus","Neutral"
"614",555,"Darmanitan","Zen Mode","Neutral"
"615",555,"G. Darmanitan","Zen Mode","Neutral"
"616",556,"Maractus","Storm Drain","Neutral"
"617",557,"Dwebble","Weak Armor","Neutral"
"618",558,"Crustle","Weak Armor","Neutral"
"619",559,"Scraggy","Intimidate","Neutral"
"620",560,"Scrafty","Intimidate","Neutral"
"621",561,"Sigilyph","Tinted Lenses","Neutral"
"622",562,"Yamask","","Neutral"
"623",562,"G. Yamask","","Neutral"
"624",563,"Cofagrigus","","Neutral"
"625",564,"Tirtouga","Swift Swim","M (87.5%)"
"626",565,"Carracosta","Swift Swim","M (87.5%)"
"627",566,"Archen","","M (87.5%)"
"628",567,"Archeops","","M (87.5%)"
"629",568,"Trubbish","Aftermath","Neutral"
"630",569,"Garbodor","Aftermath","Neutral"
"631",570,"Zorua","","M (87.5%)"
"633",571,"Zoroark","","M (87.5%)"
"635",572,"Minccino","Skill Link","F (75%)"
"636",573,"Ciccino","Skill Link","F (75%)"
"637",574,"Gothita","Shadow Tag","F (75%)"
"638",575,"Gothorita","Shadow Tag","F (75%)"
"639",576,"Gothitelle","Shadow Tag","F (75%)"
"640",577,"Solosis","Regenerator","Neutral"
"641",578,"Duosion","Regenerator","Neutral"
"642",579,"Reuniclus","Regenerator","Neutral"
"645",582,"Vanillite","Weak Armor","Neutral"
"646",583,"Vanillish","Weak Armor","Neutral"
"647",584,"Vanilluxe","Weak Armor","Neutral"
"650",587,"Emolga","Motor Drive","Neutral"
"651",588,"Karrablast","No Guard","Neutral"
"652",589,"Escavalier","Overcoat","Neutral"
"653",590,"Foongus","Regenerator","Neutral"
"654",591,"Amoonguss","Regenerator","Neutral"
"655",592,"Frillish","Damp","Neutral"
"656",593,"Jellicent","Damp","Neutral"
"658",595,"Joltik","Swarm","Neutral"
"659",596,"Galvantula","Swarm","Neutral"
"660",597,"Ferroseed","","Neutral"
"661",598,"Ferrothorn","Anticipation","Neutral"
"668",605,"Elgyem","Analytic","Neutral"
"669",606,"Beheeyem","Analytic","Neutral"
"670",607,"Litwick","Infiltrator","Neutral"
"671",608,"Lampent","Infiltrator","Neutral"
"672",609,"Chandelure","Infiltrator","Neutral"
"673",610,"Axew","Unnerve","Neutral"
"674",611,"Fraxure","Unnerve","Neutral"
"675",612,"Haxorus","Unnerve","Neutral"
"676",613,"Cubchoo","Rattled","Neutral"
"677",614,"Beartic","Swift Swim","Neutral"
"679",616,"Shelmet","Overcoat","Neutral"
"680",617,"Accelgor","Unburden","Neutral"
"681",618,"Stunfisk","Sand Viel","Neutral"
"682",618,"G. Stunfisk","","Neutral"
"683",619,"Mienfoo","Reckless","Neutral"
"684",620,"Mienshao","Reckless","Neutral"
"685",621,"Druddigon","Mold Breaker","Neutral"
"688",624,"Pawniard","Pressure","Neutral"
"689",625,"Bisharp","Pressure","Neutral"
"690",626,"Bouffalant","Soundproof","Neutral"
"691",627,"Rufflet","Hustle","M (100%)"
"692",628,"Braviary","Defiant","M (100%)"
"694",629,"Vullaby","Weak Armor","F (100%)"
"695",630,"Mandibuzz","Weak Armor","F (100%)"
"696",631,"Heatmor","White Smoke","Neutral"
"697",632,"Durant","Truant","Neutral"
"698",633,"Deino","","Neutral"
"699",634,"Zweilous","","Neutral"
"700",635,"Hydreigon","","Neutral"
"701",636,"Larvesta","Swarm","Neutral"
"702",637,"Volcarona","Swarm","Neutral"
"724",659,"Bunnelby","Huge Power","Neutral"
"725",660,"Diggersby","Huge Power","Neutral"
"726",661,"Fletchling","Gale Wings","Neutral"
"727",662,"Fletchinder","Gale Wings","Neutral"
"728",663,"Talonflame","Gale Wings","Neutral"
"739",674,"Pancham","Scrappy","Neutral"
"740",675,"Pangoro","Scrappy","Neutral"
"742",677,"Espurr","Own Tempo","Neutral"
"743",678,"Male Meowstic","Prankster","M (100%)"
"744",679,"Honedge","","Neutral"
"745",680,"Doublade","","Neutral"
"746",681,"S Aegislash","","Neutral"
"747",682,"Spritzee","Aroma Veil","Neutral"
"748",683,"Aromatisse","Aroma Veil","Neutral"
"749",684,"Swirlix","Unburden","Neutral"
"750",685,"Slurpuff","Unburden","Neutral"
"751",686,"Inkay","Infiltrator","Neutral"
"752",687,"Malamar","Infiltrator","Neutral"
"753",688,"Binacle","Pickpocket","Neutral"
"754",689,"Barbaracle","Pickpocket","Neutral"
"755",690,"Skrelp","Adaptability","Neutral"
"756",691,"Dragalge","Adaptability","Neutral"
"757",692,"Clauncher","","Neutral"
"758",693,"Clawitzer","","Neutral"
"759",694,"Helioptile","Solar Power","Neutral"
"760",695,"Heliolisk","Solar Power","Neutral"
"761",696,"Tyrunt","Sturdy","M (87.5%)"
"762",697,"Tyrantrum","Rock Head","M (87.5%)"
"763",698,"Amaura","Snow Warning","M (87.5%)"
"764",699,"Aurorus","Snow Warning","M (87.5%)"
"765",700,"Sylveon","Pixilate","M (87.5%)"
"767",701,"Hawlucha","Mold Breaker","Neutral"
"768",702,"Dedenne","Plus","Neutral"
"770",704,"Goomy","Gooey","Neutral"
"772",705,"Sliggoo","Gooey","Neutral"
"774",706,"Goodra","Gooey","Neutral"
"775",707,"Klefki","Magician","Neutral"
"776",708,"Phantump","Harvest","Neutral"
"777",709,"Trevenant","Harvest","Neutral"
"778",710,"Pumpkaboo","Insomnia","Neutral"
"779",711,"Gourgeist","Insomnia","Neutral"
"781",712,"Bergmite","Sturdy","Neutral"
"784",713,"Avalugg","Sturdy","Neutral"
"786",714,"Noibat","Telepathy","Neutral"
"788",715,"Noivern","Telepathy","Neutral"
"795",722,"Rowlet","Long Reach","M (87.5%)"
"796",723,"Dartrix","Long Reach","M (87.5%)"
"797",724,"Decidueye","Long Reach","M (87.5%)"
"799",725,"Litten","Intimidate","M (87.5%)"
"800",726,"Torracat","Intimidate","M (87.5%)"
"801",727,"Incineroar","Intimidate","M (87.5%)"
"802",728,"Popplio","Liquid Voice","M (87.5%)"
"803",729,"Brionne","Liquid Voice","M (87.5%)"
"804",730,"Primarina","Liquid Voice","M (87.5%)"
"810",736,"Grubbin","","Neutral"
"811",737,"Charjabug","","Neutral"
"812",738,"Vikavolt","","Neutral"
"819",742,"Cutiefly","Sweet Veil","Neutral"
"820",743,"Ribombee","Sweet Veil","Neutral"
"821",744,"Rockruff","Steadfast","Neutral"
"822",745,"Day Lycanroc","Steadfast","Neutral"
"823",745,"Midnight Lycanroc","No Guard","Neutral"
"824",745,"Dusk Lycanroc","","Neutral"
"825",746,"Wishiwashi","","Neutral"
"826",747,"Mareanie","Regenerator","Neutral"
"827",748,"Toxapex","Regenerator","Neutral"
"828",749,"Mudbray","Inner Focus","Neutral"
"829",750,"Mudsdale","Inner Focus","Neutral"
"830",751,"Dewpider","Water Absorb","Neutral"
"831",752,"Araquanid","Water Absorb","Neutral"
"832",753,"Fomantis","Contrary","Neutral"
"833",754,"Lurantis","Contrary","Neutral"
"834",755,"Morelull","Rain Dish","Neutral"
"835",756,"Shiinotic","Rain Dish","Neutral"
"836",757,"Salandit","Oblivious","M (87.5%)"
"837",758,"Salazzle","Oblivious","F (100%)"
"838",759,"Stufful","Cute Charm","Neutral"
"839",760,"Bewear","Unnerve","Neutral"
"840",761,"Bounsweet","Sweet Veil","F (100%)"
"841",762,"Steenee","Sweet Veil","F (100%)"
"842",763,"Tsareena","Sweet Veil","F (100%)"
"843",764,"Comfey","Natural Cure","F (75%)"
"844",765,"Oranguru","Symbiosis","Neutral"
"845",766,"Passimian","Defiant","Neutral"
"846",767,"Wimpod","","Neutral"
"847",768,"Golisopod","","Neutral"
"848",769,"Sandygast","Sand Veil","Neutral"
"849",770,"Palossand","Sand Veil","Neutral"
"850",771,"Pyukumuku","Unaware","Neutral"
"855",776,"Turtonator","","Neutral"
"856",777,"Togedemaru","Sturdy","Neutral"
"857",778,"Mimikyu","","Neutral"
"858",779,"Bruxish","Wonder Skin","Neutral"
"859",780,"Drampa","Cloud Nine","Neutral"
"861",782,"Jangmo-o","Overcoat","Neutral"
"862",783,"Hakamo-o","Overcoat","Neutral"
"863",784,"Kommo-o","Overcoat","Neutral"
"889",810,"Grookey","Grassy Surge","M (87.5%)"
"890",811,"Thwackey","Grassy Surge","M (87.5%)"
"891",812,"Rillaboom","Grassy Surge","M (87.5%)"
"892",813,"Scorbunny","Libero","M (87.5%)"
"893",814,"Raboot","Libero","M (87.5%)"
"894",815,"Cinderace","Libero","M (87.5%)"
"895",816,"Sobble","Sniper","M (87.5%)"
"896",817,"Drizzile","Sniper","M (87.5%)"
"897",818,"Inteleon","Sniper","M (87.5%)"
"898",819,"Skwovet","Gluttony","Neutral"
"899",820,"Greedent","Gluttony","Neutral"
"900",821,"Rookidee","Big Pecks","Neutral"
"901",822,"Corvisquire","Big Pecks","Neutral"
"902",823,"Corviknight","Mirror Armor","Neutral"
"903",824,"Blipibug","Telepathy","Neutral"
"904",825,"Dottler","Telepathy","Neutral"
"905",826,"Orbeetle","Telepathy","Neutral"
"906",827,"Nickit","Stakeout","Neutral"
"907",828,"Theivul","Stakeout","Neutral"
"908",829,"Gossifleur","Effect Spore","Neutral"
"909",830,"Eldegoss","Effect Spore","Neutral"
"910",831,"Wooloo","Bulletproof","Neutral"
"911",832,"Dubwool","Bulletproof","Neutral"
"912",833,"Chewtle","Swift Swim","Neutral"
"913",834,"Drednaw","Swift Swim","Neutral"
"914",835,"Yamper","Rattled","Neutral"
"915",836,"Boltund","Competitive","Neutral"
"916",837,"Rolycoly","Flash Fire","Neutral"
"917",838,"Carkol","Flash Fire","Neutral"
"918",839,"Coalossal","Flash Fire","Neutral"
"919",840,"Applin","Bulletproof","Neutral"
"920",841,"Flapple","Hustle","Neutral"
"921",842,"Appletun","Thick Fat","Neutral"
"922",843,"Silicobra","Sand Veil","Neutral"
"923",844,"Sandaconda","Sand Veil","Neutral"
"924",845,"Cramorant","","Neutral"
"925",846,"Arrokuda","Propeller Tail","Neutral"
"926",847,"Barraskewda","Propeller Tail","Neutral"
"928",849,"Toxtricity A","Flame Body","Neutral"
"929",849,"Toxtricity Low","Technician","Neutral"
"930",850,"Sizzlipede","Flame Body","Neutral"
"931",851,"Centiskorch","Flame Body","Neutral"
"932",852,"Clobbopus","Technician","Neutral"
"933",853,"Grapploct","Technician","Neutral"
"936",856,"Hatenna","Magic Bounce","F (100%)"
"937",857,"Hattrem","Magic Bounce","F (100%)"
"938",858,"Hatterene","Magic Bounce","F (100%)"
"939",859,"Impidimp","Pickpocket","M (100%)"
"940",860,"Morgrem","Pickpocket","M (100%)"
"941",861,"Grimmsnarl","Pickpocket","M (100%)"
"942",862,"Obstagoon","Defiant","Neutral"
"943",863,"Perrserker","Steely Spirit","Neutral"
"944",864,"Cursola","Perish Body","F (75%)"
"945",865,"Sirfetch'd","Scrappy","Neutral"
"946",866,"Mr. Rime","Ice Body","Neutral"
"947",867,"Runerigus","","Neutral"
"948",868,"Milcrey","Aroma Veil","F (100%)"
"949",869,"Alcremie","Aroma Veil","F (100%)"
"951",871,"Pinurchin","Electric Surge","Neutral"
"952",872,"Snom","Ice Scales","Neutral"
"953",873,"Frosmoth","Ice Scales","Neutral"
"954",874,"Stonjourner","","Neutral"
"955",875,"Eiscue","","Neutral"
"956",876,"M Indeedee","Psychic Surge","M (100%)"
"957",876,"F Indeedee","Psychic Surge","F (100%)"
"958",877,"Morpeko","","Neutral"
"959",878,"Cufant","Heavy Metal","Neutral"
"960",879,"Copperajah","Heavy Metal","Neutral"
"965",884,"Duraludon","Stalwart","Neutral"
"966",885,"Dreepy","Cursed Body","Neutral"
"967",886,"Drakloak","Cursed Body","Neutral"
"968",887,"Dragapult","Cursed Body","Neutral"
