"","Nat","Pokemon","HiddenAbility"
"79",65,"Alakazam","Magic Guard"
"80",66,"Machop","Steadfast"
"81",67,"Machoke","Steadfast"
"82",68,"Machamp","Steadfast"
"83",69,"Bellsprout","Gluttony"
"84",70,"Weepinbell","Gluttony"
"85",71,"Victreebel","Gluttony"
"86",72,"Tentacool","Rain Dish"
"87",73,"Tentacruel","Rain Dish"
"88",74,"Geodude","Sand Veil"
"90",75,"Graveler","Sand Veil"
"92",76,"Golem","Sand Veil"
"94",77,"Ponyta","Flame Body"
"96",78,"Rapidash","Flame Body"
"98",79,"Slowpoke","Regenerator"
"100",80,"Slowbro","Regenerator"
"104",83,"Farfetch'd","Defiant"
"106",84,"Doduo","Tangled Feet"
"107",85,"Dodrio","Tangled Feet"
"108",86,"Seel","Ice Body"
"109",87,"Dewgong","Ice Body"
"110",88,"Grimer","Poison Touch"
"112",89,"Muk","Poison Touch"
"114",90,"Shellder","Overcoat"
"115",91,"Cloyster","Overcoat"
"116",92,"Gastly",""
"117",93,"Haunter",""
"118",94,"Gengar",""
"119",95,"Onix","Weak Armor"
"120",96,"Drowzee","Inner Focus"
"121",97,"Hypno","Inner Focus"
"122",98,"Krabby","Sheer Force"
"123",99,"Kingler","Sheer Force"
"128",102,"Exeggcute","Harvest"
"129",103,"Exeggutor","Harvest"
"131",104,"Cubone","Battle Armor"
"132",105,"Marowak","Battle Armor"
"134",106,"Hitmonlee","Unburden"
"135",107,"Hitmonchan","Inner Focus"
"136",108,"Lickitung","Cloud Nine"
"137",109,"Koffing","Stench"
"138",110,"Weezing","Stench"
"140",111,"Rhyhorn","Reckless"
"141",112,"Rhydon","Reckless"
"142",113,"Chansey","Healer"
"143",114,"Tangela","Regenerator"
"144",115,"Kangaskhan","Inner Focus"
"145",116,"Horsea","Damp"
"146",117,"Seadra","Damp"
"147",118,"Goldeen","Lightningrod"
"148",119,"Seaking","Lightningrod"
"151",122,"Mr. Mime","Technician"
"153",123,"Scyther","Steadfast"
"154",124,"Jynx","Dry Skin"
"155",125,"Electabuzz","Vital Spirit"
"156",126,"Magmar","Vital Spirit"
"157",127,"Pinsir","Moxie"
"158",128,"Tauros","Sheer Force"
"162",129,"Magikarp","Rattled"
"163",130,"Gyarados","Moxie"
"164",131,"Lapras","Hydration"
"166",133,"Eevee","Anticipation"
"167",134,"Vaporeon","Hydration"
"168",135,"Jolteon","Quick Feet"
"169",136,"Flareon","Guts"
"171",138,"Omanyte","Weak Armor"
"172",139,"Omastar","Weak Armor"
"173",140,"Kabuto","Weak Armor"
"174",141,"Kabutops","Weak Armor"
"175",142,"Aerodactyl","Unnerve"
"176",143,"Snorlax","Gluttony"
"183",147,"Dratini","Marvel Scale"
"184",148,"Dragonair","Marvel Scale"
"185",149,"Dragonite","Multiscale"
"188",152,"Chikorita","Leaf Guard"
"189",153,"Bayleef","Leaf Guard"
"190",154,"Meganium","Leaf Guard"
"191",155,"Cyndaquil","Flash Fire"
"192",156,"Quilava","Flash Fire"
"193",157,"Typhlosion","Flash Fire"
"195",158,"Totodile","Sheer Force"
"196",159,"Croconaw","Sheer Force"
"197",160,"Feraligatr","Sheer Force"
"198",161,"Sentret","Frisk"
"199",162,"Furret","Frisk"
"200",163,"Hoothoot","Tinted Lens"
"201",164,"Noctowl","Tinted Lens"
"202",165,"Ledyba","Rattled"
"203",166,"Ledian","Iron Fist"
"204",167,"Spinarak","Sniper"
"205",168,"Ariados","Sniper"
"206",169,"Crobat","Infiltrator"
"207",170,"Chinchou","Water Absorb"
"208",171,"Lanturn","Water Absorb"
"213",176,"Togetic","Super Luck"
"214",177,"Natu","Magic Bounce"
"215",178,"Xatu","Magic Bounce"
"216",179,"Mareep","Plus"
"217",180,"Flaaffy","Plus"
"218",181,"Ampharos","Plus"
"219",182,"Bellossom","Healer"
"220",183,"Marill","Sap Sipper"
"221",184,"Azumarill","Sap Sipper"
"222",185,"Sudowoodo","Rattled"
"223",186,"Politoed","Drizzle"
"224",187,"Hoppip","Infiltrator"
"225",188,"Skiploom","Infiltrator"
"226",189,"Jumpluff","Infiltrator"
"227",190,"Aipom","Skill Link"
"228",191,"Sunkern","Early Bird"
"229",192,"Sunflora","Early Bird"
"230",193,"Yanma","Frisk"
"231",194,"Wooper","Unaware"
"233",195,"Quagsire","Unaware"
"234",196,"Espeon","Magic Bounce"
"235",197,"Umbreon","Inner Focus"
"236",198,"Murkrow","Prankster"
"237",199,"Slowking","Regenerator"
"239",200,"Misdreavus",""
"243",202,"Wobbuffet","Telepathy"
"245",203,"Girafarig","Sap Sipper"
"246",204,"Pineco","Overcoat"
"247",205,"Forretress","Overcoat"
"248",206,"Dunsparce","Rattled"
"249",207,"Gligar","Immunity"
"250",208,"Steelix","Sheer Force"
"251",209,"Snubbull","Rattled"
"252",210,"Granbull","Rattled"
"253",211,"Qwilfish","Intimidate"
"255",212,"Scizor","Light Metal"
"256",213,"Shuckle","Contrary"
"257",214,"Heracross","Moxie"
"258",215,"Sneasel","Pickpocket"
"260",216,"Teddiursa","Honey Gather"
"261",217,"Ursaring","Unnerve"
"262",218,"Slugma","Weak Armor"
"263",219,"Magcargo","Weak Armor"
"264",220,"Swinub","Thick Fat"
"265",221,"Piloswine","Thick Fat"
"266",222,"Corsola","Regenerator"
"268",223,"Remoraid","Moody"
"269",224,"Octillery","Moody"
"270",225,"Delibird","Insomnia"
"271",226,"Mantine","Water Veil"
"272",227,"Skarmory","Weak Armor"
"273",228,"Houndour","Unnerve"
"274",229,"Houndoom","Unnerve"
"275",230,"Kingdra","Damp"
"276",231,"Phanpy","Sand Veil"
"277",232,"Donphan","Sand Veil"
"279",234,"Stantler","Sap Sipper"
"280",235,"Smeargle","Moody"
"282",237,"Hitmontop","Steadfast"
"286",241,"Miltank","Sap Sipper"
"287",242,"Blissey","Healer"
"291",246,"Larvitar","Sand Veil"
"292",247,"Pupitar",""
"293",248,"Tyranitar","Unnerve"
"297",252,"Treecko","Unburden"
"298",253,"Grovyle","Unburden"
"299",254,"Sceptile","Unburden"
"300",255,"Torchic","Speed Boost"
"301",256,"Combusken","Speed Boost"
"302",257,"Blaziken","Speed Boost"
"303",258,"Mudkip","Damp"
"304",259,"Marshtomp","Damp"
"305",260,"Swampert","Damp"
"306",261,"Poochyena","Rattled"
"307",262,"Mightyena","Moxie"
"308",263,"Zigzagoon","Quick Feet"
"310",264,"Linoone","Quick Feet"
"312",265,"Wurmple","Run Away"
"313",266,"Silcoon",""
"314",267,"Beautifly","Rivalry"
"315",268,"Cascoon",""
"316",269,"Dustox","Compound Eyes"
"317",270,"Lotad","Own Tempo"
"318",271,"Lombre","Own Tempo"
"319",272,"Ludicolo","Own Tempo"
"320",273,"Seedot","Pickpocket"
"321",274,"Nuzleaf","Pickpocket"
"322",275,"Shiftry","Pickpocket"
"323",276,"Taillow","Scrappy"
"324",277,"Swellow","Scrappy"
"325",278,"Wingull","Rain Dish"
"326",279,"Pelipper","Rain Dish"
"327",280,"Ralts","Pixilate"
"329",281,"Kirlia","Pixilate"
"331",282,"Gardevoir","Pixilate"
"333",283,"Surskit","Rain Dish"
"334",284,"Masquerain","Unnerve"
"335",285,"Shroomish","Quick Feet"
"336",286,"Breloom","Technician"
"337",287,"Slakoth",""
"338",288,"Vigoroth",""
"339",289,"Slaking",""
"340",290,"Nincada","Run Away"
"341",291,"Ninjask","Infiltrator"
"343",293,"Whismur","Rattled"
"344",294,"Loudred","Scrappy"
"345",295,"Exploud","Scrappy"
"346",296,"Makuhita","Sheer Force"
"347",297,"Hariyama","Sheer Force"
"349",299,"Nosepass","Sand Force"
"350",300,"Skitty","Wonder Skin"
"351",301,"Delcatty","Wonder Skin"
"352",302,"Sableye","Prankster"
"353",303,"Mawile","Sheer Force"
"354",304,"Aron","Heavy Metal"
"355",305,"Lairon","Heavy Metal"
"356",306,"Aggron","Heavy Metal"
"357",307,"Meditite","Telepathy"
"358",308,"Medicham","Telepathy"
"359",309,"Electrike","Minus"
"360",310,"Manectric","Minus"
"361",311,"Plusle","Lightning Rod"
"362",312,"Minun","Volt Absorb"
"363",313,"Volbeat","Prankster"
"364",314,"Illumise","Prankster"
"365",315,"Roselia","Leaf Guard"
"366",316,"Gulpin","Gluttony"
"367",317,"Swalot","Gluttony"
"368",318,"Carvanha","Speed Boost"
"369",319,"Sharpedo","Speed Boost"
"370",320,"Wailmer","Pressure"
"371",321,"Wailord","Pressure"
"372",322,"Numel","Own Tempo"
"373",323,"Camerupt","Anger Point"
"374",324,"Torkoal","Shell Armor"
"375",325,"Spoink","Gluttony"
"376",326,"Grumpig","Gluttony"
"377",327,"Spinda","Contrary"
"378",328,"Trapinch","Sheer Force"
"380",329,"Vibrava",""
"382",330,"Flygon",""
"384",331,"Cacnea","Water Absorb"
"385",332,"Cacturne","Water Absorb"
"386",333,"Swablu","Cloud Nine"
"387",334,"Altaria","Cloud Nine"
"388",335,"Zangoose","Toxic Boost"
"389",336,"Seviper","Infiltrator"
"392",339,"Barboach","Hydration"
"393",340,"Whiscash","Hydration"
"394",341,"Corphish","Adaptability"
"395",342,"Crawdaunt","Adaptability"
"398",345,"Lileep","Storm Drain"
"399",346,"Cradily","Storm Drain"
"400",347,"Anorith","Swift Swim"
"401",348,"Armaldo","Swift Swim"
"402",349,"Feebas","Adaptability"
"403",350,"Milotic","Cute Charm"
"404",351,"Castform",""
"405",352,"Kecleon","Protean"
"406",353,"Shuppet","Cursed Body"
"407",354,"Banette","Cursed Body"
"408",355,"Duskull","Frisk"
"409",356,"Dusclops","Frisk"
"410",357,"Tropius","Harvest"
"411",358,"Chimecho",""
"412",359,"Absol","Justified"
"414",361,"Snorunt","Moody"
"415",362,"Glalie","Moody"
"416",363,"Spheal","Oblivious"
"417",364,"Sealeo","Oblivious"
"418",365,"Walrein","Oblivious"
"419",366,"Clamperl","Rattled"
"420",367,"Huntail","Water Veil"
"421",368,"Gorebyss","Hydration"
"422",369,"Relicanth","Sturdy"
"423",370,"Luvdisc","Hydration"
"424",371,"Bagon","Sheer Force"
"425",372,"Shelgon","Overcoat"
"426",373,"Salamence","Moxie"
