"","Nat","Pokemon","HiddenAbility"
"79",65,"Alakazam","Magic Guard"
"80",66,"Machop","Steadfast"
"81",67,"Machoke","Steadfast"
"82",68,"Machamp","Steadfast"
"83",69,"Bellsprout","Gluttony"
"84",70,"Weepinbell","Gluttony"
"85",71,"Victreebel","Gluttony"
"86",72,"Tentacool","Rain Dish"
"87",73,"Tentacruel","Rain Dish"
"88",74,"Geodude","Sand Veil"
"90",75,"Graveler","Sand Veil"
"92",76,"Golem","Sand Veil"
"94",77,"Ponyta","Flame Body"
"96",78,"Rapidash","Flame Body"
"98",79,"Slowpoke","Regenerator"
"100",80,"Slowbro","Regenerator"
"104",83,"Farfetch'd","Defiant"
"106",84,"Doduo","Tangled Feet"
"107",85,"Dodrio","Tangled Feet"
"108",86,"Seel","Ice Body"
"109",87,"Dewgong","Ice Body"
"110",88,"Grimer","Poison Touch"
"112",89,"Muk","Poison Touch"
"114",90,"Shellder","Overcoat"
"115",91,"Cloyster","Overcoat"
"116",92,"Gastly",""
"117",93,"Haunter",""
"118",94,"Gengar",""
"119",95,"Onix","Weak Armor"
"120",96,"Drowzee","Inner Focus"
"121",97,"Hypno","Inner Focus"
"122",98,"Krabby","Sheer Force"
"123",99,"Kingler","Sheer Force"
"128",102,"Exeggcute","Harvest"
"129",103,"Exeggutor","Harvest"
"131",104,"Cubone","Battle Armor"
"132",105,"Marowak","Battle Armor"
"134",106,"Hitmonlee","Unburden"
"135",107,"Hitmonchan","Inner Focus"
"136",108,"Lickitung","Cloud Nine"
"137",109,"Koffing","Stench"
"138",110,"Weezing","Stench"
"140",111,"Rhyhorn","Reckless"
"141",112,"Rhydon","Reckless"
"142",113,"Chansey","Healer"
"143",114,"Tangela","Regenerator"
"144",115,"Kangaskhan","Inner Focus"
"145",116,"Horsea","Damp"
"146",117,"Seadra","Damp"
"147",118,"Goldeen","Lightningrod"
"148",119,"Seaking","Lightningrod"
"151",122,"Mr. Mime","Technician"
"153",123,"Scyther","Steadfast"
"154",124,"Jynx","Dry Skin"
"155",125,"Electabuzz","Vital Spirit"
"156",126,"Magmar","Vital Spirit"
"157",127,"Pinsir","Moxie"
"158",128,"Tauros","Sheer Force"
"162",129,"Magikarp","Rattled"
"163",130,"Gyarados","Moxie"
"164",131,"Lapras","Hydration"
"166",133,"Eevee","Anticipation"
"167",134,"Vaporeon","Hydration"
"168",135,"Jolteon","Quick Feet"
"169",136,"Flareon","Guts"
"171",138,"Omanyte","Weak Armor"
"172",139,"Omastar","Weak Armor"
"173",140,"Kabuto","Weak Armor"
"174",141,"Kabutops","Weak Armor"
"175",142,"Aerodactyl","Unnerve"
"176",143,"Snorlax","Gluttony"
"183",147,"Dratini","Marvel Scale"
"184",148,"Dragonair","Marvel Scale"
"185",149,"Dragonite","Multiscale"
"188",152,"Chikorita","Leaf Guard"
"189",153,"Bayleef","Leaf Guard"
"190",154,"Meganium","Leaf Guard"
"191",155,"Cyndaquil","Flash Fire"
"192",156,"Quilava","Flash Fire"
"193",157,"Typhlosion","Flash Fire"
"195",158,"Totodile","Sheer Force"
"196",159,"Croconaw","Sheer Force"
"197",160,"Feraligatr","Sheer Force"
"198",161,"Sentret","Frisk"
"199",162,"Furret","Frisk"
"200",163,"Hoothoot","Tinted Lens"
"201",164,"Noctowl","Tinted Lens"
"202",165,"Ledyba","Rattled"
"203",166,"Ledian","Iron Fist"
"204",167,"Spinarak","Sniper"
"205",168,"Ariados","Sniper"
"206",169,"Crobat","Infiltrator"
"207",170,"Chinchou","Water Absorb"
"208",171,"Lanturn","Water Absorb"
"213",176,"Togetic","Super Luck"
"214",177,"Natu","Magic Bounce"
"215",178,"Xatu","Magic Bounce"
"216",179,"Mareep","Plus"
"217",180,"Flaaffy","Plus"
"218",181,"Ampharos","Plus"
"219",182,"Bellossom","Healer"
"220",183,"Marill","Sap Sipper"
"221",184,"Azumarill","Sap Sipper"
"222",185,"Sudowoodo","Rattled"
"223",186,"Politoed","Drizzle"
"224",187,"Hoppip","Infiltrator"
"225",188,"Skiploom","Infiltrator"
"226",189,"Jumpluff","Infiltrator"
"227",190,"Aipom","Skill Link"
"228",191,"Sunkern","Early Bird"
"229",192,"Sunflora","Early Bird"
"230",193,"Yanma","Frisk"
"231",194,"Wooper","Unaware"
"233",195,"Quagsire","Unaware"
"234",196,"Espeon","Magic Bounce"
"235",197,"Umbreon","Inner Focus"
"236",198,"Murkrow","Prankster"
"237",199,"Slowking","Regenerator"
"239",200,"Misdreavus",""
"243",202,"Wobbuffet","Telepathy"
"245",203,"Girafarig","Sap Sipper"
"246",204,"Pineco","Overcoat"
"247",205,"Forretress","Overcoat"
"248",206,"Dunsparce","Rattled"
"249",207,"Gligar","Immunity"
"250",208,"Steelix","Sheer Force"
"251",209,"Snubbull","Rattled"
"252",210,"Granbull","Rattled"
"253",211,"Qwilfish","Intimidate"
"255",212,"Scizor","Light Metal"
"256",213,"Shuckle","Contrary"
"257",214,"Heracross","Moxie"
"258",215,"Sneasel","Pickpocket"
"260",216,"Teddiursa","Honey Gather"
"261",217,"Ursaring","Unnerve"
"262",218,"Slugma","Weak Armor"
"263",219,"Magcargo","Weak Armor"
"264",220,"Swinub","Thick Fat"
"265",221,"Piloswine","Thick Fat"
"266",222,"Corsola","Regenerator"
"268",223,"Remoraid","Moody"
"269",224,"Octillery","Moody"
"270",225,"Delibird","Insomnia"
"271",226,"Mantine","Water Veil"
"272",227,"Skarmory","Weak Armor"
"273",228,"Houndour","Unnerve"
"274",229,"Houndoom","Unnerve"
"275",230,"Kingdra","Damp"
"276",231,"Phanpy","Sand Veil"
"277",232,"Donphan","Sand Veil"
"279",234,"Stantler","Sap Sipper"
"280",235,"Smeargle","Moody"
"282",237,"Hitmontop","Steadfast"
"286",241,"Miltank","Sap Sipper"
"287",242,"Blissey","Healer"
"291",246,"Larvitar","Sand Veil"
"292",247,"Pupitar",""
"293",248,"Tyranitar","Unnerve"
